Px 	Py 	Vx 	Vy 	Px_rmse 	Py_rmse 	Vx_rmse 	Vy_rmse 	NIS 	Yaw 	Yaw Rate 	SensorType
4.39799	18.706	-3.82081	-3.09139	0.0562204	0.0940686	0.496977	0.295611	1.4444	3.82185	0.475528	0
4.21464	18.5651	-3.7611	-3.09909	0.0560915	0.0938233	0.495844	0.294844	1.38361	3.83079	0.436363	1
4.09365	18.4079	-3.56449	-3.19798	0.0560853	0.09358	0.495088	0.294079	1.38361	3.87285	0.465958	0
3.91596	18.2324	-3.44675	-3.422	0.0561652	0.0933434	0.494571	0.293533	6.97979	3.92339	0.54371	1
3.65357	18.0935	-3.56845	-3.43052	0.0560213	0.0931082	0.493519	0.292855	6.97979	3.90729	0.482536	0
3.48906	17.9444	-3.5006	-3.4081	0.0558968	0.0928989	0.492503	0.292107	3.45232	3.9136	0.435831	1
3.25867	17.7791	-3.55012	-3.45119	0.0557851	0.0927041	0.491316	0.291369	3.45232	3.91286	0.40353	0
3.08299	17.5933	-3.44419	-3.61524	0.0556619	0.0924915	0.490209	0.290684	2.38286	3.95122	0.452931	1
2.90163	17.4768	-3.43163	-3.57567	0.0555446	0.0924799	0.489048	0.289958	2.38286	3.94754	0.4193	0
2.76741	17.2571	-3.21409	-3.81449	0.0554225	0.0923217	0.488223	0.289431	2.97293	4.01221	0.509227	1
2.59084	17.071	-3.16091	-3.88003	0.055296	0.0921604	0.487397	0.288924	2.97293	4.02877	0.497009	0
2.4237	16.9069	-3.14695	-3.80908	0.0551755	0.092079	0.486466	0.288215	2.249	4.02189	0.423463	1
2.25794	16.7353	-3.10244	-3.83852	0.0550591	0.0920814	0.485517	0.287504	2.249	4.03265	0.409701	0
2.07885	16.5413	-3.10341	-3.83968	0.054926	0.0920791	0.484462	0.28682	4.92278	4.03264	0.362509	1
1.92543	16.3109	-3.0091	-3.95652	0.0548021	0.0919402	0.483487	0.286122	4.92278	4.06218	0.376908	0
1.76319	16.1363	-3.00377	-3.91707	0.0546754	0.0918886	0.48243	0.285475	0.896076	4.0582	0.328609	1
1.55353	15.9705	-3.09681	-3.89114	0.0546183	0.0920181	0.481263	0.284976	0.896076	4.04018	0.28135	0
1.43408	15.7358	-2.89414	-4.09704	0.0544891	0.0919816	0.480221	0.28429	2.34608	4.09738	0.370248	1
1.26048	15.5184	-2.88206	-4.15889	0.0543974	0.0918969	0.479131	0.283615	2.34608	4.10639	0.356612	0
1.10021	15.3262	-2.86997	-4.1588	0.0543444	0.091877	0.478012	0.282942	0.895074	4.10834	0.328818	1
0.885097	15.1093	-2.96973	-4.19096	0.0547551	0.0918266	0.476914	0.282277	0.895074	4.09591	0.288232	0
0.731875	14.9296	-2.97202	-4.12667	0.0552618	0.0919365	0.475884	0.281759	2.22051	4.08823	0.23914	1
0.6353	14.7148	-2.7994	-4.1931	0.0553906	0.0920399	0.474768	0.28119	2.22051	4.12373	0.27129	0
0.527836	14.4712	-2.61085	-4.35548	0.0553575	0.0920039	0.473727	0.280535	1.98929	4.17238	0.341881	1
0.35287	14.2495	-2.64508	-4.39276	0.0555507	0.0919514	0.472629	0.279886	1.98929	4.17039	0.315361	0
0.236733	13.9954	-2.4589	-4.585	0.0556324	0.0917898	0.471678	0.279502	3.06643	4.22013	0.395726	1
0.232058	13.7444	-2.0684	-4.67665	0.0556273	0.0915839	0.471876	0.279323	3.06643	4.29597	0.47348	0
0.132836	13.5015	-1.92579	-4.7766	0.0557844	0.0913743	0.47259	0.279451	0.834651	4.32915	0.499317	1
-0.0394799	13.271	-2.01531	-4.80301	0.0557109	0.0911686	0.472587	0.27956	0.834651	4.31511	0.44303	0
-0.159904	13.0538	-2.01379	-4.7545	0.0556465	0.0909614	0.472394	0.279336	1.2487	4.31174	0.389733	1
-0.154714	12.8264	-1.65751	-4.78953	0.0566215	0.0907556	0.473945	0.279141	1.2487	4.37922	0.460537	0
-0.276701	12.6025	-1.70163	-4.73366	0.05753	0.090551	0.474899	0.278695	3.70388	4.3673	0.390515	1
-0.400698	12.3675	-1.71862	-4.75706	0.0583267	0.0903481	0.475497	0.278248	3.70388	4.3657	0.359482	0
